t,Ca,x
57,9.149326593,0.1
57.25,9.502802316,0.1
57.5,9.675842118,0.1
57.75,10.19384724,0.1
58,10.38936914,0.1
58.25,10.88823706,0.1
58.5,11.12609157,0.1
58.75,11.37000354,0.1
59,11.61018684,0.1
59.25,11.80571036,0.1
59.5,12.1779483,0.1
59.75,12.00272898,0.1
60,12.33750538,0.1
60.25,12.56253676,0.1
60.5,12.61621342,0.1
60.75,12.41835016,0.1
61,12.33329063,0.1
61.25,12.40799424,0.1
61.5,12.1181911,0.1
61.75,12.06433719,0.1
62,11.86657191,0.1
62.25,11.57101454,0.1
62.5,11.33397491,0.1
62.75,11.11626028,0.1
63,10.78729003,0.1
63.25,10.39129063,0.1
63.5,10.07891824,0.1
63.75,9.619562209,0.1
64,9.459219011,0.1
64.25,8.989186559,0.1
64.5,8.681837761,0.1
64.75,8.326086216,0.1
65,8.1448801,0.1
65.25,7.78828554,0.1
65.5,7.756296505,0.1
65.75,7.463564334,0.1
66,7.258422508,0.1
66.25,7.100892767,0.1
66.5,7.081345897,0.1
66.75,6.726142772,0.1
67,6.641256595,0.1
67.25,6.228151358,0.1
67.5,6.13470932,0.1
67.75,6.134756191,0.1
68,6.019321407,0.1
68.25,5.573598479,0.1
68.5,5.689066257,0.1
68.75,5.589410848,0.1
69,5.495680084,0.1
69.25,5.380848847,0.1
69.5,5.376986246,0.1
69.75,5.505812307,0.1
70,5.148180483,0.1
70.25,5.313510526,0.1
70.5,4.808050878,0.1
70.75,5.062731733,0.1
71,4.999595211,0.1
71.25,4.744118428,0.1
71.5,4.680065429,0.1
71.75,4.631388057,0.1
72,4.636492241,0.1
72.25,4.733535635,0.1
72.5,4.188748056,0.1
72.75,4.450847929,0.1
73,4.527472861,0.1
73.25,4.323866492,0.1
73.5,4.138523686,0.1
73.75,4.26171978,0.1
74,4.035802444,0.1
74.25,3.998372509,0.1
74.5,3.980028215,0.1
74.75,4.014482261,0.1
75,3.733781635,0.1
75.25,3.890628225,0.1
75.5,3.696596734,0.1
75.75,3.77364573,0.1
76,3.509503978,0.1
76.25,3.626080005,0.1
76.5,3.762342103,0.1
76.75,3.422843866,0.1
77,3.354794023,0.1
77.25,3.58181999,0.1
77.5,3.311968679,0.1
77.75,3.311839237,0.1
78,3.196677359,0.1
78.25,3.132712959,0.1
78.5,3.135172601,0.1
78.75,3.307070168,0.1
79,3.144045962,0.1
79.25,2.876736598,0.1
79.5,2.981135929,0.1
79.75,2.78566379,0.1
80,2.816496356,0.1
80.25,2.870637005,0.1
80.5,2.760313066,0.1
80.75,2.811025671,0.1
81,2.705199669,0.1
81.25,2.553061787,0.1
81.5,2.765831269,0.1
81.75,2.624645566,0.1
82,2.582872412,0.1
82.25,2.609809771,0.1
82.5,2.560097312,0.1
82.75,2.358740701,0.1
83,2.504267698,0.1
83.25,2.314078943,0.1
83.5,2.526697879,0.1
83.75,2.115650799,0.1
84,2.339118078,0.1
84.25,2.348742585,0.1
84.5,2.148689337,0.1
84.75,2.494986196,0.1
85,2.308086905,0.1
85.25,2.146928604,0.1
85.5,1.990864455,0.1
85.75,2.109490127,0.1
86,2.237741277,0.1
86.25,2.027620755,0.1
86.5,2.091398514,0.1
86.75,1.938352587,0.1
87,2.075044079,0.1
87.25,1.929620721,0.1
87.5,1.940615485,0.1
87.75,1.966973904,0.1
